Product Name,Customer ID,Order City,Quantity,Total Sales Value,Order Status,Timestamp,Unit Price
Tablet,0ac06006-24a2-4304-a14c-ce9eadc3fd32,San Francisco,8,408.32,Delivered,1/16/2025,51.04
Gaming Console,be8cb66a-fde1-4bf8-b631-511c63fd53f9,New York,4,32.28,Pending,4/21/2024,8.07
Camera,4befa23b-2be0-441a-8f97-362d1146899e,New York,6,1673.64,Shipped,2/23/2024,278.94
Smartwatch,781bddab-afd4-45c8-9b46-7e90cf5b9494,Dallas,5,511.15,Cancelled,1/7/2025,102.23
Smartwatch,507ad3b8-0826-4a0e-8779-d319de5beebd,Boston,3,1324.86,Pending,3/14/2024,441.62
Laptop,aecf76d4-05c6-4c33-8598-d49effd62b77,Seattle,6,1153.68,Delivered,2/5/2024,192.28
Tablet,6c0fd597-a254-4f61-b93d-aa55c62da5a0,Dallas,10,3226.7,Shipped,2/19/2024,322.67
Laptop,7416f0f3-c7cf-405e-8240-02bf670c905f,Chicago,10,4403.5,Pending,4/14/2024,440.35
Camera,ab3698eb-b3c3-40a9-be3c-72546a246a80,Houston,3,1180.44,Pending,10/7/2024,393.48
Smartwatch,8aeaa7d0-ece9-4f23-86ea-e31ac8741292,Los Angeles,5,1614.55,Pending,3/25/2024,322.91
Smartwatch,5e6134f6-7b97-4275-b009-31a13f3ff25f,San Francisco,9,4062.69,Cancelled,9/25/2024,451.41
Headphones,02e8425b-82ff-42d4-ba22-d109e6a4c453,Chicago,1,236.43,Cancelled,4/28/2024,236.43
Headphones,76223f73-57f8-4936-9185-d6d0872da470,Miami,9,2214.63,Pending,3/3/2024,246.07
Camera,b947f59b-71ad-462f-abfa-d6ae853d11d4,San Francisco,6,1886.34,Cancelled,9/13/2024,314.39
Camera,8aebfb15-700a-4150-9f39-f69645cb399d,San Francisco,9,181.53,Pending,5/13/2024,20.17
Laptop,9aac1352-4a8f-499f-b8ad-e564eb80a0e8,Boston,3,996.72,Cancelled,5/20/2024,332.24
Headphones,a7771c1b-0e10-4a5d-a3fe-531709f6235b,San Francisco,6,1582.14,Shipped,1/2/2025,263.69
Smartwatch,7f802459-65ec-41bb-81b9-c9daa7c66627,San Francisco,8,3008.08,Cancelled,3/25/2024,376.01
Smartwatch,846b8c5a-3b35-4220-87a2-c22c8b5bb16d,Miami,5,2222.1,Shipped,1/30/2025,444.42
Headphones,e1b4b4d2-1668-467d-a6c7-0b0c0bbc1783,Los Angeles,5,1688.9,Delivered,2/20/2024,337.78
Smartwatch,d1bdb133-6a7d-43a4-8c8d-ac484629c498,San Francisco,1,163.06,Shipped,7/8/2024,163.06
Laptop,94e7b244-6abc-4fe6-bdbf-ef6edf2b746f,Chicago,6,1581.48,Shipped,10/17/2024,263.58
Keyboard,aedbb2a7-85d4-4801-90d0-62d3874821e4,Phoenix,1,252.28,Pending,6/17/2024,252.28
Headphones,4362c70f-c3cb-4651-8873-e135e84eeff9,Dallas,7,1715.07,Delivered,3/31/2024,245.01
Mouse,1d95e209-a8a3-4f71-a1b5-7859c480552b,Chicago,4,1522.84,Shipped,8/4/2024,380.71
Tablet,8c369fbf-eb79-4786-aa17-3be8a3d26d95,Phoenix,3,489.24,Delivered,6/25/2024,163.08
Gaming Console,e7a6997b-28a6-4b71-b032-67b2c1e67d3b,Los Angeles,5,1007.85,Delivered,11/14/2024,201.57
Smartwatch,ba475d79-bb57-41b3-96e5-ff6749d82a29,Dallas,4,1828.4,Delivered,1/22/2025,457.1
Smartwatch,a27caa15-b092-483b-8b4e-ffb9a2613969,Phoenix,7,2592.8,Delivered,7/21/2024,370.4
Tablet,38e2ffdb-6913-453d-aa5f-828b5e3403c3,Los Angeles,4,1052.72,Shipped,1/1/2025,263.18
Keyboard,fc689c58-cf6b-473d-b193-67c032c74ab8,Boston,10,3542.1,Pending,1/29/2025,354.21
Laptop,d3ebfc4b-4f85-4989-98e0-9f8aaed34b5e,Chicago,9,2339.28,Pending,1/24/2025,259.92
Tablet,213e08b9-b4d7-4657-90e5-8116519aa550,Seattle,5,1643.3,Pending,12/24/2024,328.66
Headphones,4268a312-fa1d-402f-8a28-83e0deac04a9,Chicago,10,88.2,Delivered,8/2/2024,8.82
Camera,c4ab9ba4-e92d-45a4-9da1-8c32edfa3c67,Phoenix,9,3546.36,Shipped,2/18/2024,394.04
Gaming Console,dea7ec49-7a76-4b05-be7a-d678579cd7c1,Los Angeles,8,3158.88,Pending,10/6/2024,394.86
Smartphone,6622418a-63a3-47ec-ae95-1c9ccac5c893,Boston,7,195.37,Delivered,9/28/2024,27.91
Smartphone,b0d47647-e2b1-4228-a10a-b05e2e00a3e1,Chicago,9,4418.91,Pending,9/3/2024,490.99
Keyboard,4e2ef9dd-b4ca-4240-81b2-2691e029775d,San Francisco,5,842.25,Pending,12/22/2024,168.45
Smartwatch,c392214e-0563-4f0b-afe9-7882c1c72b71,New York,10,2196.9,Shipped,6/27/2024,219.69
Smartwatch,4449da2c-50d7-43f2-abdc-a6fe264cbe45,Seattle,3,911.37,Cancelled,4/28/2024,303.79
Headphones,e2bf30ce-6a0f-4647-9694-231920e8e11b,San Francisco,4,1435.32,Pending,1/23/2025,358.83
Smartwatch,4cbe6e32-5f99-474e-96dc-f6a7a6a3fd94,Chicago,3,1468.11,Cancelled,1/8/2025,489.37
Mouse,74f74421-9844-42ff-9b7d-b8402806a3d4,Miami,4,1229.76,Shipped,11/21/2024,307.44
Laptop,40610fc2-c84f-42c9-81ac-f82aeb68cd9d,San Francisco,10,592.7,Pending,3/22/2024,59.27
Smartwatch,1f2e39ac-cbaa-455b-8ee5-3ad8e7c13b7f,Seattle,8,1284.16,Cancelled,12/20/2024,160.52
Camera,5c679063-0113-4ca8-a3e8-a41fa6fcfbcf,Dallas,3,303,Cancelled,12/16/2024,101
Tablet,dbd676b5-7739-4e23-a6b0-ad9ebd1c7869,Miami,7,553.63,Delivered,3/8/2024,79.09
Tablet,a97b5aa7-67f6-4f5e-ac08-a4cd735bb359,Seattle,5,2433.15,Delivered,9/29/2024,486.63
Camera,c6556914-45e1-4725-b694-dc8fadde77b5,New York,10,4789.1,Cancelled,6/5/2024,478.91
Laptop,d2e1170c-98f7-42e7-94f8-4048b16b5d22,Dallas,3,51.99,Pending,4/20/2024,17.33
Laptop,3684059d-3d7c-44c0-aa26-47cbffaa86bc,Seattle,1,463.27,Cancelled,11/10/2024,463.27
Headphones,499673fb-7d7f-48ff-81c8-46aec3a0d559,Los Angeles,6,2468.34,Pending,6/18/2024,411.39
Smartphone,5607c4f3-b636-482e-adfd-d7f18762699b,Chicago,10,3375.7,Pending,10/20/2024,337.57
Monitor,d2fd2d60-2b15-40c9-a1c2-4e04839fa151,Houston,3,338.1,Cancelled,5/4/2024,112.7
Smartwatch,a1c93e9c-8d80-4cd9-83a6-e50450f31af4,Los Angeles,10,2493.2,Shipped,9/30/2024,249.32
Keyboard,54f3cd63-776a-467e-8316-9215762175e9,San Francisco,7,3037.51,Shipped,5/20/2024,433.93
Headphones,3c454084-2167-4800-b5b1-2190f4877b08,San Francisco,7,187.74,Cancelled,1/25/2025,26.82
Monitor,a2319018-7bd0-4803-9fc1-617b11dfb853,San Francisco,6,378.3,Cancelled,6/15/2024,63.05
Monitor,4b398524-05b5-4fe9-b18b-4b860320e099,New York,10,2370.8,Delivered,7/21/2024,237.08
Laptop,e82b4082-06ce-47ec-a05b-0c71e26e11fa,Houston,6,2506.86,Pending,11/11/2024,417.81
Monitor,df0d5fbd-f51b-4a81-b362-0f65d743451d,Boston,10,3126.8,Shipped,3/5/2024,312.68
Smartphone,40550c0b-8015-4728-82ed-25b15f22ee93,Los Angeles,3,635.43,Shipped,1/18/2025,211.81
Laptop,fc1a3c24-7c09-41a8-8fad-5adfc63a76b7,Seattle,9,1459.89,Pending,4/28/2024,162.21
Camera,d9df6577-6f80-4d38-9c92-41035e296b47,New York,4,214.6,Cancelled,10/6/2024,53.65
Monitor,50fa6bad-419a-48c1-930b-5e6b52d82e41,Houston,3,620.55,Cancelled,7/8/2024,206.85
Smartphone,39a08a52-e2a2-4c4e-8850-cfbfd48b1288,Phoenix,4,1051.12,Cancelled,10/5/2024,262.78
Laptop,29e0a7da-0b00-4339-a2f2-9dff7f261a59,Seattle,1,402.56,Shipped,6/27/2024,402.56
Camera,7fe0a71a-c346-4620-86cd-578ae79d76d8,Dallas,3,855.99,Cancelled,12/4/2024,285.33
Gaming Console,39eda885-01c3-4d58-9968-675b562d313f,Los Angeles,2,794.8,Shipped,6/1/2024,397.4
Headphones,d9f1f8ca-6e53-41bd-bde3-a8df15ca0a58,Phoenix,6,1699.68,Cancelled,9/5/2024,283.28
Gaming Console,ed2dc011-5687-4551-b35b-cf0365ac8279,Los Angeles,7,1242.22,Shipped,12/5/2024,177.46
Smartwatch,f675f6b9-709c-42bd-ac15-6456ff7f2aa5,Phoenix,5,2133.15,Delivered,12/8/2024,426.63
Gaming Console,d0c1f465-1a9a-4830-8dae-7707439c3545,Chicago,5,813.95,Delivered,8/16/2024,162.79
Smartwatch,1f80d615-b406-427f-ad1e-04fc1430af6f,Seattle,7,3174.85,Delivered,9/15/2024,453.55
Camera,c252eaae-b056-4ff3-8fea-2bd3aec79aa9,Houston,10,2921.3,Shipped,8/14/2024,292.13
Tablet,798d5664-2b25-4cba-9b74-87ba443bbcf8,Chicago,5,698.3,Pending,10/31/2024,139.66
Smartphone,bb27f6bf-5c59-4135-bf78-06257c28d4ec,Boston,3,1434.72,Shipped,2/20/2024,478.24
Smartwatch,aa786af2-b569-4c89-860c-0f20aa773fbb,Chicago,2,332,Delivered,2/15/2024,166
Keyboard,e24c02da-59ef-4ae6-b213-be07d9cd7f1e,New York,10,1062.8,Pending,3/23/2024,106.28
Laptop,56a01cc9-c8aa-45ba-b129-558c9cba47a7,Seattle,4,1099,Cancelled,5/2/2024,274.75
Mouse,a59c53bf-82a5-42c3-a053-028504d364d1,San Francisco,8,1467.92,Shipped,11/6/2024,183.49
Camera,2d4bbae4-bc57-4f89-bbb0-a24071d6425c,San Francisco,9,2651.4,Shipped,11/16/2024,294.6
Monitor,8f27ac85-fd68-4eb5-a6d5-6e9a8e4e592a,San Francisco,8,796,Cancelled,4/2/2024,99.5
Laptop,d425b5b0-1433-4808-88e0-54ab4a228bbe,Boston,8,574.32,Delivered,5/7/2024,71.79
Camera,5ad81942-a896-4a5d-be9e-efe2db20cfd7,Boston,2,712.86,Shipped,3/3/2024,356.43
Smartphone,0b7b660b-209f-40e1-8078-b0ada0cf578a,New York,7,1175.72,Cancelled,5/8/2024,167.96
Laptop,95433fbf-bb43-44b3-8b22-6cf93b67d51c,Seattle,9,1747.98,Pending,1/15/2025,194.22
Tablet,180bb6c2-550b-4a5b-9497-99ea6f43a0bd,Miami,4,1751.72,Pending,7/9/2024,437.93
Smartphone,e98b4ebf-b049-471c-840b-dccbed33ba64,San Francisco,7,2068.15,Pending,12/14/2024,295.45
Mouse,462eb829-de90-4e7c-b154-efbd9da08852,Phoenix,1,384.91,Cancelled,2/8/2024,384.91
Tablet,6b47fb5e-504e-460f-974a-93d43476dd29,Miami,4,1776.36,Shipped,4/15/2024,444.09
Smartwatch,38063302-729b-4a91-928c-089eb8b3e6e9,San Francisco,4,598.36,Cancelled,10/28/2024,149.59
Keyboard,4a765d72-1f16-4def-a316-58dfb227a112,Chicago,4,1200.76,Cancelled,3/10/2024,300.19
Tablet,868a5624-a94c-4be5-b1fd-3f154e9327bb,Chicago,9,3034.35,Pending,12/5/2024,337.15
Tablet,fd70d59c-f93e-475d-a150-3089422c6abd,New York,8,3140.8,Cancelled,11/7/2024,392.6
Mouse,f1a72835-e50c-4cc4-a6d9-c89c1e6b0794,Los Angeles,2,328.92,Delivered,9/23/2024,164.46
Smartwatch,cfaaf613-e87e-4588-b400-faae5ab11cd3,Houston,2,94.18,Shipped,1/20/2025,47.09
Smartphone,ab1f6407-d0fa-463a-815d-d9ed505bd974,Boston,3,1174.44,Shipped,12/23/2024,391.48
Smartwatch,23105a4f-4fc3-47fa-a9ef-72d5b2797995,Dallas,10,204.8,Cancelled,7/2/2024,20.48
Smartwatch,a8aadb10-9564-4d5f-a07b-25037c2525e2,Miami,8,1775.92,Pending,5/22/2024,221.99
Laptop,50151315-24da-443a-a1e8-2cf91acc127d,Dallas,7,607.67,Pending,12/5/2024,86.81
Laptop,b90a02d3-3fe1-46b6-80d7-3ee205b827f0,Chicago,4,1747.24,Cancelled,5/14/2024,436.81
Gaming Console,fdf4fed7-2614-47c7-944c-996f5c805617,New York,10,99,Pending,2/22/2024,9.9
Smartwatch,1e7f3b4b-cde5-496f-82f4-149b581a6aa2,Seattle,9,923.76,Delivered,11/3/2024,102.64
Gaming Console,74902c01-ad36-4925-a0b6-c48c006d4cbd,Seattle,4,715.8,Delivered,5/17/2024,178.95
Smartphone,fb250b21-ca6e-457c-a850-9e981a90ac03,Phoenix,4,21.48,Shipped,2/5/2024,5.37
Smartwatch,2ccd93ee-8f65-42f4-94df-9863b3ef7ae2,New York,3,521.1,Cancelled,10/28/2024,173.7
Smartwatch,6e843914-a182-440b-bff4-e5d2ae97750c,New York,7,1481.2,Delivered,12/10/2024,211.6
Smartwatch,375efd52-ad50-4ff2-9359-44654ccd1a3a,Phoenix,1,472.6,Delivered,3/25/2024,472.6
Tablet,1453c59b-2870-4910-a76b-be7e53c9488a,Boston,2,873.02,Cancelled,4/21/2024,436.51
Smartwatch,77e662e9-a560-4497-b012-18aac1ea32eb,Houston,1,344.12,Shipped,10/9/2024,344.12
Keyboard,04aa426d-0184-4f28-b047-89f9cd7d59c8,Seattle,3,314.34,Delivered,10/3/2024,104.78
Laptop,91fadf8e-5b56-4d06-a7a4-325b7c4889cc,San Francisco,7,731.85,Delivered,7/1/2024,104.55
Gaming Console,771079da-a0df-40bf-9fbb-1e0705ff9a93,New York,7,1860.18,Shipped,4/17/2024,265.74
Keyboard,89bc35b8-e6ea-4924-b341-257373ac1bd4,New York,5,1877.3,Pending,11/9/2024,375.46
Headphones,300474ed-b934-40ba-966f-10c79d432fe2,New York,10,2610.7,Cancelled,2/8/2024,261.07
Headphones,979d903c-1f2c-4ac6-b5e1-c21359b456ea,Seattle,2,233.82,Delivered,10/30/2024,116.91
Camera,931fa494-0e2f-4c09-a2fd-6b973cf71ed2,San Francisco,1,73.95,Cancelled,7/27/2024,73.95
Camera,ec4fd0a9-b070-4f94-8e18-34ca14f5d0b8,Chicago,10,1004.6,Delivered,12/24/2024,100.46
Laptop,0c77d9c5-80fb-42d3-8745-d39578a0a43e,Seattle,3,108.69,Delivered,6/13/2024,36.23
Laptop,26907101-b507-488b-a81e-7dce49384580,Houston,4,177.6,Pending,12/12/2024,44.4
Smartwatch,fc77157f-400c-463d-8210-53bff43ac4c7,Phoenix,9,2574.45,Cancelled,7/4/2024,286.05
Smartphone,2349666e-248a-4969-8be5-714cda6e5a02,Dallas,3,215.04,Delivered,2/27/2024,71.68
Headphones,29d934a3-e5b6-4fed-8caf-51715adc12ba,Phoenix,8,517.2,Shipped,2/19/2024,64.65
Headphones,ad4ebb6e-9049-4af3-ae71-248b38dbad57,Houston,10,197.1,Pending,11/9/2024,19.71
Keyboard,37130687-4b81-4e19-a890-07595aaaab68,Chicago,8,2536.88,Shipped,12/5/2024,317.11
Headphones,5d25aa3f-48e0-4f88-869d-5803ef510ee5,Miami,3,1101.3,Cancelled,5/1/2024,367.1
Tablet,ce37c9d7-5ace-4b5d-96a1-d335257f579c,Chicago,6,56.76,Cancelled,10/5/2024,9.46
Smartwatch,7e0289c3-c0c1-4bb9-9311-45cbf9eec1f5,San Francisco,7,2592.94,Shipped,9/3/2024,370.42
Tablet,7d19346d-9ce7-4796-bc0f-ce887428dd28,Boston,6,1131.36,Cancelled,12/5/2024,188.56
Smartphone,78bb45de-cc68-4cb8-95fd-78c1ea20fc51,Dallas,9,2632.95,Delivered,10/6/2024,292.55
Monitor,6233842f-86be-4a9c-99e6-bc86dd78ca65,Los Angeles,3,78,Pending,10/7/2024,26
Mouse,eb661851-00f2-4c7d-a58e-3f64f78cfa35,Seattle,6,2715.12,Pending,8/17/2024,452.52
Mouse,be0cbaab-b455-4cd2-9017-cbb12e21d275,Houston,1,68.01,Delivered,10/15/2024,68.01
Gaming Console,95573fda-dd46-4b91-808e-7dd6ce26870e,New York,1,455.3,Shipped,7/12/2024,455.3
Tablet,751595a1-8a0d-4ab7-8bb0-186702b4eb4b,San Francisco,3,1142.4,Pending,4/19/2024,380.8
Mouse,8762fbbb-a03b-4a95-b08a-8da8f72addc0,San Francisco,10,1322.9,Cancelled,2/14/2024,132.29
Headphones,6c19313e-9e2b-41c7-aa63-c2cfb3aaead3,Houston,2,295.78,Shipped,3/31/2024,147.89
Headphones,d703afa3-1786-4cea-b458-92269a515f65,Boston,1,105.13,Delivered,11/17/2024,105.13
Monitor,2d3b28a7-70e5-44f1-b6c3-924f2c0470c2,Los Angeles,7,460.32,Cancelled,9/2/2024,65.76
Mouse,878167c3-dac3-4e9c-b827-af77ac0b6163,New York,10,4204,Shipped,10/15/2024,420.4
Smartwatch,0c70739f-c12f-468b-9fdf-83eff068e0f4,Seattle,5,1542.8,Delivered,4/27/2024,308.56
Smartwatch,93e8572e-77ce-4082-903d-73bc95a98cc5,Los Angeles,6,1475.52,Pending,12/17/2024,245.92
Keyboard,10f843bc-84e7-4da1-85c3-fec0977c2ae4,Phoenix,10,3485.5,Delivered,8/29/2024,348.55
Headphones,0c240dc9-7a1a-4e52-b12d-ee408cebaf2f,Chicago,10,3913.3,Cancelled,11/21/2024,391.33
Keyboard,901727c0-bf8c-4127-aa35-75f46b20103a,Phoenix,8,2331.04,Delivered,10/12/2024,291.38
Camera,cd2aff9e-3acd-4738-ba7e-405d80d783ec,Dallas,10,4454.1,Cancelled,7/4/2024,445.41
Gaming Console,0106020f-90f1-4929-9d75-03ef1e688ba7,New York,7,2282.7,Pending,2/10/2024,326.1
Camera,1c1c9341-6689-4d29-85c4-9d469095d424,Los Angeles,7,2901.29,Shipped,9/19/2024,414.47
Keyboard,73a9de9f-d432-498f-a11a-b68800ccee08,New York,8,284.8,Delivered,7/27/2024,35.6
Headphones,2c410f2d-7778-4603-8bed-74edfcb4d7c0,New York,1,356.41,Delivered,7/4/2024,356.41
Tablet,ae9ffe53-a845-43c2-aa3e-f005bb25379d,Chicago,6,444,Pending,4/24/2024,74
Headphones,fa0ee3e2-08d9-46e3-99e6-e81e38613137,New York,3,1117.65,Cancelled,8/12/2024,372.55
Gaming Console,69a2ae08-6f34-43c1-88e7-3face9d9a625,Miami,7,2381.19,Delivered,1/12/2025,340.17
Mouse,341fe724-9bce-4b77-8058-73ce2858ac01,Chicago,8,3100,Cancelled,7/9/2024,387.5
Monitor,ebdffccf-0551-4207-9273-28e1df9250c1,Chicago,1,438.66,Cancelled,2/13/2024,438.66
Headphones,fa6d83d8-44c6-4328-8b11-08cd96833283,Phoenix,3,678.81,Delivered,6/30/2024,226.27
Camera,c7fe46a9-0226-4e95-b5ae-6a2ea59b0aac,Dallas,7,1836.8,Cancelled,2/18/2024,262.4
Monitor,6a76501e-edf8-4589-8c1a-f9f592d16a3f,Seattle,4,835,Delivered,8/1/2024,208.75
Tablet,6eb29e14-8b7f-4bd4-923e-ef8547099252,Seattle,4,1724.84,Shipped,2/2/2025,431.21
Gaming Console,bac094dc-50cb-4157-baa6-40ba87705f0e,Phoenix,1,101.53,Pending,12/4/2024,101.53
Smartphone,7ba0398d-d251-4067-8fcd-f297f5e2a056,Phoenix,1,100.57,Shipped,7/15/2024,100.57
Gaming Console,37b137fd-6f25-4633-94ae-48b15e1e4f5c,San Francisco,8,2406.96,Pending,8/24/2024,300.87
Mouse,c3a125b2-ca2a-4359-abbc-8c3284aeb19c,San Francisco,4,217.32,Pending,3/11/2024,54.33
Monitor,5df6f038-f40d-4e29-90d4-7979cbcc0bcc,Boston,8,3917.12,Delivered,7/11/2024,489.64
Camera,58f82c60-93c5-4da9-abf5-83b891de8dcf,Chicago,8,1054.88,Shipped,3/5/2024,131.86
Smartwatch,657528af-83fb-4685-835e-729d16ed2c72,Dallas,1,323.61,Cancelled,10/18/2024,323.61
Smartphone,7d4926e0-687a-4835-873d-e34819619998,Miami,2,754.34,Cancelled,11/11/2024,377.17
Keyboard,8f7d23a7-02a6-4da9-ac11-e910a2fc92c2,Los Angeles,3,389.04,Cancelled,7/7/2024,129.68
Camera,25a7acf2-d951-49c3-bbf6-9587c4db0aea,Houston,4,1500.36,Pending,10/31/2024,375.09
Smartphone,26c00aa8-81d2-45d1-b607-bf8d6ea114a1,Miami,1,484.86,Shipped,12/3/2024,484.86
Smartwatch,86b87519-8878-4582-951f-e22f84454c65,Phoenix,1,346.27,Cancelled,1/12/2025,346.27
Keyboard,ded07da0-2500-4ac6-a64f-f3f49b43053c,Dallas,2,29,Delivered,8/6/2024,14.5
Headphones,76ce8dea-89a0-4945-9ff0-dc830fc6cc14,Seattle,1,430.69,Shipped,9/22/2024,430.69
Tablet,f6f84902-8078-41ff-9742-98fce1199450,San Francisco,2,296.08,Pending,12/5/2024,148.04
Smartphone,46a229db-6ad8-4566-8e33-00ad37276d31,Boston,8,73.68,Cancelled,10/29/2024,9.21
Tablet,8563e8bc-ae2c-4ab5-9aa6-38c5051417fe,San Francisco,6,2183.28,Pending,4/18/2024,363.88
Keyboard,cab82cd5-1484-4828-9c47-1aa620047d3f,Houston,2,406.28,Cancelled,6/13/2024,203.14
Keyboard,a7e3b9ac-d3b8-451f-8b1a-a01bc1e9d9e0,Boston,1,426.19,Shipped,4/14/2024,426.19
Laptop,273d71ae-d912-486c-9c49-e8343cfa9cff,Los Angeles,8,3178.08,Delivered,11/5/2024,397.26
Keyboard,13f9a4fb-4dbe-42d7-a391-f53c8d1010fe,New York,8,1957.28,Delivered,8/10/2024,244.66
Headphones,22e6ec0c-6cf3-42e8-86ed-b870651156b0,Phoenix,6,1036.98,Shipped,1/27/2025,172.83
Smartphone,aa4a2da7-67a6-4c1d-9188-37d61501f024,Los Angeles,10,1207.2,Pending,9/8/2024,120.72
Tablet,dd66f6b7-049d-4a6a-829a-1c036f9a9b43,Phoenix,1,375.68,Shipped,7/5/2024,375.68
Tablet,949fc988-b345-454d-aead-8e544a136265,Chicago,9,656.73,Pending,5/29/2024,72.97
Laptop,5bcd3b39-efc1-4d28-a249-bdf4bb6673fb,New York,6,1905.3,Cancelled,3/26/2024,317.55
Smartphone,69c518f5-cc76-4f94-80f7-440f0ec8850a,Los Angeles,5,2478.45,Cancelled,9/3/2024,495.69
Tablet,4ca2507d-41a6-4790-955f-d7df1234d63f,Miami,8,3243.36,Cancelled,8/18/2024,405.42
Monitor,aab48f8b-6130-4085-85bd-b33815e069a0,Chicago,9,115.47,Pending,10/1/2024,12.83
Monitor,30c228e1-7322-4e23-a676-45d9d8bf879b,San Francisco,9,2993.94,Pending,5/2/2024,332.66
Tablet,103fc1ac-919f-4847-bad0-1acaeb79589e,Los Angeles,10,4854.3,Shipped,3/9/2024,485.43
Headphones,42ecb31e-47b1-49f0-8a78-53b97f215293,San Francisco,5,2459.35,Pending,9/30/2024,491.87
Smartwatch,1a65e433-c68c-4ea9-af52-af11b633658a,Boston,4,593.84,Cancelled,2/9/2024,148.46
Laptop,d2ecde3f-1f84-44c1-9b5f-9eed4e45d290,Los Angeles,8,1270.64,Delivered,7/11/2024,158.83
Keyboard,c87b0dfe-e5bf-4af0-b4c7-39db8e6088bd,Houston,10,3618,Shipped,12/18/2024,361.8
Monitor,19b40cf8-22f8-47aa-a35f-2d52a7f591f8,Los Angeles,9,2818.8,Cancelled,7/7/2024,313.2
Camera,ca0ecf4d-0c36-4c6e-b5fe-31039d89aa72,Houston,3,530.31,Delivered,4/6/2024,176.77
Gaming Console,86dd0263-50c4-46a3-bd61-8a4bbefe0cc8,Chicago,1,346.86,Cancelled,6/30/2024,346.86
Smartphone,5e8d179f-0b32-4892-afcd-81ed089953d1,Dallas,2,920.16,Cancelled,9/19/2024,460.08
Smartwatch,a45f2ded-73a0-4bb0-86aa-a0214c1e1920,Chicago,2,891.8,Cancelled,3/29/2024,445.9
Gaming Console,3f4a54bf-1f15-4988-ad0f-a8db706b1eac,Houston,3,1027.23,Pending,5/10/2024,342.41
Smartphone,c98db38a-67a0-443f-95d9-ee09304b7b53,Seattle,2,149.9,Pending,8/25/2024,74.95
Camera,fa2c3a08-2730-4c4e-b754-86e37e776062,Phoenix,5,2218.15,Delivered,6/6/2024,443.63
Mouse,25862cb2-8a1f-4b40-b404-75f762b446f0,Phoenix,5,1289.55,Pending,3/29/2024,257.91
Monitor,35123881-1dea-4418-9982-1872e1e80748,San Francisco,2,729.7,Cancelled,4/27/2024,364.85
